iter	Passed	Remaining
587	12793	8964
588	12819	8945
589	12845	8926
590	12870	8907
591	12893	8885
592	12915	8864
593	12935	8841
594	12957	8819
595	12977	8797
596	12998	8774
597	13018	8751
598	13041	8730
599	13068	8712
600	13097	8695
601	13123	8676
602	13148	8656
603	13174	8637
604	13199	8617
605	13223	8597
606	13255	8582
607	13283	8564
608	13311	8546
609	13336	8526
610	13364	8508
611	13392	8490
612	13424	8475
613	13458	8460
614	13493	8447
615	13538	8439
616	13586	8433
617	13627	8423
618	13683	8422
619	13743	8423
620	13794	8418
621	13834	8407
622	13870	8393
623	13910	8381
624	13948	8369
625	13984	8354
626	14014	8337
627	14044	8319
628	14074	8301
629	14120	8293
630	14155	8278
631	14186	8260
632	14213	8240
633	14245	8224
634	14284	8210
635	14317	8194
636	14359	8182
637	14393	8166
638	14423	8148
639	14454	8130
640	14491	8115
641	14526	8100
642	14561	8084
643	14603	8072
644	14641	8058
645	14668	8038
646	14695	8017
647	14722	7997
648	14748	7976
649	14773	7955
650	14800	7934
651	14826	7913
652	14856	7894
653	14883	7873
654	14909	7853
655	14936	7832
656	14962	7811
657	14987	7789
658	15012	7768
659	15035	7745
660	15064	7725
661	15094	7706
662	15132	7691
663	15160	7671
664	15187	7650
665	15215	7630
666	15241	7609
667	15268	7588
668	15294	7567
669	15323	7547
670	15350	7526
671	15379	7506
672	15409	7487
673	15438	7467
674	15468	7447
675	15493	7425
676	15519	7404
677	15544	7382
678	15568	7360
679	15599	7341
680	15622	7318
681	15647	7296
682	15671	7273
683	15695	7251
684	15719	7228
685	15745	7207
686	15771	7185
687	15796	7163
688	15820	7141
689	15846	7119
690	15871	7097
691	15897	7075
692	15923	7054
693	15948	7032
694	15974	7010
695	16002	6989
696	16029	6968
697	16054	6946
698	16077	6923
699	16101	6900
700	16125	6878
701	16149	6855
702	16174	6833
703	16199	6811
704	16225	6789
705	16250	6767
706	16276	6745
707	16303	6723
708	16327	6701
709	16353	6679
710	16376	6656
711	16401	6634
712	16425	6611
713	16449	6588
714	16474	6566
715	16500	6544
716	16525	6522
717	16549	6499
718	16574	6477
719	16598	6454
720	16622	6432
721	16646	6409
722	16672	6387
723	16697	6365
724	16724	6343
725	16748	6321
726	16771	6298
727	16796	6275
728	16821	6253
729	16845	6230
730	16871	6208
731	16897	6186
732	16923	6164
733	16947	6141
734	16973	6119
735	17001	6098
736	17025	6075
737	17051	6053
738	17075	6030
739	17098	6007
740	17124	5985
741	17156	5965
742	17184	5943
743	17213	5922
744	17241	5901
745	17268	5879
746	17295	5857
747	17319	5834
748	17341	5811
749	17365	5788
750	17390	5765
751	17414	5742
752	17437	5719
753	17461	5696
754	17485	5673
755	17510	5651
756	17533	5628
757	17557	5605
758	17581	5582
759	17603	5559
760	17628	5536
761	17655	5514
762	17685	5493
763	17715	5472
764	17742	5450
765	17766	5427
766	17790	5404
767	17815	5381
768	17838	5358
769	17862	5335
770	17888	5313
771	17912	5290
772	17938	5267
773	17962	5244
774	17986	5222
775	18011	5199
776	18036	5176
777	18063	5154
778	18089	5131
779	18113	5109
780	18137	5086
781	18161	5063
782	18185	5039
783	18208	5016
784	18234	4994
785	18258	4971
786	18283	4948
787	18306	4924
788	18331	4902
789	18353	4878
790	18377	4855
791	18402	4832
792	18426	4809
793	18449	4786
794	18472	4763
795	18497	4740
796	18521	4717
797	18546	4694
798	18570	4671
799	18594	4648
800	18619	4625
801	18643	4602
802	18668	4580
803	18694	4557
804	18721	4535
805	18745	4512
806	18770	4489
807	18794	4466
808	18818	4442
809	18845	4420
810	18875	4398
811	18900	4376
812	18931	4354
813	18961	4332
814	18988	4310
815	19014	4287
816	19037	4264
817	19062	4241
818	19086	4218
819	19114	4195
820	19141	4173
821	19168	4150
822	19193	4127
823	19216	4104
824	19240	4081
825	19264	4058
826	19288	4034
827	19311	4011
828	19334	3988
829	19359	3965
830	19384	3942
831	19407	3918
832	19433	3895
833	19457	3872
834	19480	3849
835	19504	3826
836	19530	3803
837	19554	3780
838	19578	3757
839	19603	3734
840	19627	3710
841	19661	3689
842	19686	3666
843	19709	3643
844	19733	3619
845	19757	3596
846	19781	3573
847	19806	3550
848	19831	3527
849	19856	3504
850	19879	3480
851	19903	3457
852	19927	3434
853	19953	3411
854	19979	3388
855	20006	3365
856	20031	3342
857	20059	3319
858	20086	3297
859	20110	3273
860	20135	3250
861	20159	3227
862	20182	3204
863	20205	3180
864	20228	3157
865	20252	3133
866	20276	3110
867	20301	3087
868	20327	3064
869	20352	3041
870	20376	3017
871	20399	2994
872	20422	2970
873	20446	2947
874	20474	2924
875	20500	2901
876	20525	2878
877	20551	2855
878	20576	2832
879	20604	2809
880	20630	2786
881	20656	2763
882	20681	2740
883	20707	2717
884	20733	2694
885	20757	2670
886	20783	2647
887	20808	2624
888	20833	2601
889	20861	2578
890	20888	2555
891	20915	2532
892	20941	2509
893	20969	2486
894	20993	2462
895	21018	2439
896	21044	2416
897	21074	2393
898	21098	2370
899	21122	2346
900	21147	2323
901	21170	2300
902	21195	2276
903	21219	2253
904	21243	2229
905	21267	2206
906	21291	2183
907	21320	2160
908	21345	2136
909	21370	2113
910	21399	2090
911	21425	2067
912	21450	2044
913	21476	2020
914	21501	1997
915	21524	1973
916	21548	1950
917	21571	1926
918	21593	1903
919	21617	1879
920	21642	1856
921	21666	1832
922	21690	1809
923	21715	1786
924	21738	1762
925	21762	1739
926	21786	1715
927	21810	1692
928	21834	1668
929	21860	1645
930	21883	1621
931	21909	1598
932	21933	1575
933	21957	1551
934	21981	1528
935	22004	1504
936	22028	1481
937	22053	1457
938	22076	1434
939	22099	1410
940	22123	1387
941	22148	1363
942	22173	1340
943	22197	1316
944	22220	1293
945	22244	1269
946	22267	1246
947	22291	1222
948	22314	1199
949	22338	1175
950	22361	1152
951	22385	1128
952	22408	1105
953	22432	1081
954	22456	1058
955	22480	1034
956	22504	1011
957	22528	987
958	22551	964
959	22574	940
960	22596	917
961	22621	893
962	22645	870
963	22668	846
964	22691	823
965	22714	799
966	22737	775
967	22761	752
968	22784	728
969	22808	705
970	22831	681
971	22855	658
972	22879	634
973	22903	611
974	22927	587
975	22952	564
976	22976	540
977	23000	517
978	23025	493
979	23047	470
980	23070	446
981	23094	423
982	23119	399
983	23144	376
984	23168	352
985	23191	329
986	23215	305
987	23238	282
988	23261	258
989	23285	235
990	23308	211
991	23333	188
992	23357	164
993	23384	141
994	23410	117
995	23436	94
996	23461	70
997	23486	47
998	23513	23
999	23539	0
